ds,mode,k,bucket,samples,mean_us,sd_us,ci95_low_us,ci95_high_us,build_time_s,mem_peak_mb,nodes,edges,top_entries_total,engine_freq_keys,recent_window,recent_keys
Patricia,baseline,10,mid,30,9.287526,1.095512,8.895502,9.679549,22.013524,9.216277,18975,18974,37472,15232,10000,1937
Patricia,baseline,10,long,30,9.248910,0.866924,8.938685,9.559135,22.013524,9.216277,18975,18974,37472,15232,10000,1937
Patricia,baseline,20,short,30,13.065191,1.331287,12.588796,13.541586,22.013524,9.216277,18975,18974,37472,15232,10000,1937
Patricia,baseline,20,mid,30,12.382718,0.810716,12.092607,12.672829,22.013524,9.216277,18975,18974,37472,15232,10000,1937
Patricia,baseline,20,long,30,12.172906,0.942358,11.835688,12.510124,22.013524,9.216277,18975,18974,37472,15232,10000,1937
Patricia,ranked,1,short,30,214.328653,7.721147,211.565676,217.091630,22.013524,9.216277,18975,18974,37472,15232,10000,1937
Patricia,ranked,1,mid,30,197.762574,4.861137,196.023039,199.502110,22.013524,9.216277,18975,18974,37472,15232,10000,1937
Patricia,ranked,1,long,30,188.713632,7.473845,186.039151,191.388113,22.013524,9.216277,18975,18974,37472,15232,10000,1937
Patricia,ranked,5,short,30,219.127761,8.804254,215.977199,222.278323,22.013524,9.216277,18975,18974,37472,15232,10000,1937
Patricia,ranked,5,mid,30,201.111349,6.417155,198.815000,203.407698,22.013524,9.216277,18975,18974,37472,15232,10000,1937
Patricia,ranked,5,long,30,190.972641,5.603941,188.967296,192.977985,22.013524,9.216277,18975,18974,37472,15232,10000,1937
Patricia,ranked,10,short,30,217.368166,6.056240,215.200968,219.535364,22.013524,9.216277,18975,18974,37472,15232,10000,1937
Patricia,ranked,10,mid,30,201.861979,5.975364,199.723722,204.000235,22.013524,9.216277,18975,18974,37472,15232,10000,1937
Patricia,ranked,10,long,30,192.560163,6.641226,190.183631,194.936695,22.013524,9.216277,18975,18974,37472,15232,10000,1937
Patricia,ranked,20,short,30,223.550197,6.285415,221.300990,225.799404,22.013524,9.216277,18975,18974,37472,15232,10000,1937
Patricia,ranked,20,mid,30,203.560252,6.974320,201.064523,206.055980,22.013524,9.216277,18975,18974,37472,15232,10000,1937
Patricia,ranked,20,long,30,193.951609,6.025539,191.795397,196.107821,22.013524,9.216277,18975,18974,37472,15232,10000,1937
Patricia,cached,1,short,30,9.880176,1.064898,9.499107,10.261245,22.013524,9.216277,18975,18974,37472,15232,10000,1937
Patricia,cached,1,mid,30,9.852253,0.874791,9.539213,10.165293,22.013524,9.216277,18975,18974,37472,15232,10000,1937
Patricia,cached,1,long,30,9.539937,0.909187,9.214589,9.865285,22.013524,9.216277,18975,18974,37472,15232,10000,1937
Patricia,cached,5,short,30,9.921338,1.033695,9.551435,10.291241,22.013524,9.216277,18975,18974,37472,15232,10000,1937
Patricia,cached,5,mid,30,9.654807,1.250791,9.207218,10.102397,22.013524,9.216277,18975,18974,37472,15232,10000,1937
Patricia,cached,5,long,30,9.510087,1.211281,9.076635,9.943538,22.013524,9.216277,18975,18974,37472,15232,10000,1937
Patricia,cached,10,short,30,10.081327,1.155260,9.667922,10.494731,22.013524,9.216277,18975,18974,37472,15232,10000,1937
Patricia,cached,10,mid,30,9.758835,0.908814,9.433621,10.084050,22.013524,9.216277,18975,18974,37472,15232,10000,1937
Patricia,cached,10,long,30,9.597230,0.946276,9.258610,9.935850,22.013524,9.216277,18975,18974,37472,15232,10000,1937
Patricia,cached,20,short,30,10.278356,0.860128,9.970563,10.586149,22.013524,9.216277,18975,18974,37472,15232,10000,1937
Patricia,cached,20,mid,30,9.978610,1.016060,9.615017,10.342202,22.013524,9.216277,18975,18974,37472,15232,10000,1937
Patricia,cached,20,long,30,9.845019,0.880463,9.529950,10.160089,22.013524,9.216277,18975,18974,37472,15232,10000,1937
