,sum_sq,df,F,PR(>F),partial_eta2
C(ds),1.1611882755338632,1.0,10.338470352424503,0.0020306441661795613,0.1372269745332279
C(mode),165.95423542020754,2.0,738.7746582104796,2.004078448295285e-45,0.957861963109994
C(bucket),0.0667191912518978,2.0,0.2970122913006325,0.7440378812132789,0.009056077689717322
k,2.3998133071055996,1.0,21.366387561447183,1.8521927169942392e-05,0.24739239610138394
Residual,7.300619466592631,65.0,,,0.5
