ds,mode,k,bucket,samples,mean_us,sd_us,ci95_low_us,ci95_high_us,build_time_s,mem_peak_mb,nodes,edges,top_entries_total,engine_freq_keys,recent_window,recent_keys
Patricia,ranked,1,mid,30,249.359145,4.844874,247.625430,251.092861,25.420185,9.172014,18975,18974,34967,15232,10000,1937
Patricia,ranked,1,long,30,234.230867,7.312614,231.614081,236.847652,25.420185,9.172014,18975,18974,34967,15232,10000,1937
Patricia,ranked,5,short,30,264.075021,7.011000,261.566167,266.583875,25.420185,9.172014,18975,18974,34967,15232,10000,1937
Patricia,ranked,5,mid,30,252.507363,5.586890,250.508121,254.506606,25.420185,9.172014,18975,18974,34967,15232,10000,1937
Patricia,ranked,5,long,30,236.027734,7.003217,233.521665,238.533803,25.420185,9.172014,18975,18974,34967,15232,10000,1937
Patricia,ranked,10,short,30,266.003860,7.777719,263.220639,268.787081,25.420185,9.172014,18975,18974,34967,15232,10000,1937
Patricia,ranked,10,mid,30,256.415632,7.318350,253.796794,259.034470,25.420185,9.172014,18975,18974,34967,15232,10000,1937
Patricia,ranked,10,long,30,239.109493,6.407075,236.816751,241.402235,25.420185,9.172014,18975,18974,34967,15232,10000,1937
Patricia,ranked,20,short,30,270.022561,5.944932,267.895195,272.149928,25.420185,9.172014,18975,18974,34967,15232,10000,1937
Patricia,ranked,20,mid,30,259.882094,6.442737,257.576590,262.187598,25.420185,9.172014,18975,18974,34967,15232,10000,1937
Patricia,ranked,20,long,30,246.078595,9.832148,242.560206,249.596984,25.420185,9.172014,18975,18974,34967,15232,10000,1937
Patricia,cached,1,short,30,12.556306,0.891037,12.237453,12.875160,25.420185,9.172014,18975,18974,34967,15232,10000,1937
Patricia,cached,1,mid,30,11.878121,0.957456,11.535499,12.220742,25.420185,9.172014,18975,18974,34967,15232,10000,1937
Patricia,cached,1,long,30,12.087805,0.494497,11.910851,12.264758,25.420185,9.172014,18975,18974,34967,15232,10000,1937
Patricia,cached,5,short,30,11.976546,0.623180,11.753543,12.199548,25.420185,9.172014,18975,18974,34967,15232,10000,1937
Patricia,cached,5,mid,30,11.732909,0.771265,11.456915,12.008903,25.420185,9.172014,18975,18974,34967,15232,10000,1937
Patricia,cached,5,long,30,11.675404,0.845655,11.372790,11.978018,25.420185,9.172014,18975,18974,34967,15232,10000,1937
Patricia,cached,10,short,30,12.698128,0.701422,12.447128,12.949128,25.420185,9.172014,18975,18974,34967,15232,10000,1937
Patricia,cached,10,mid,30,11.769940,0.903630,11.446580,12.093300,25.420185,9.172014,18975,18974,34967,15232,10000,1937
Patricia,cached,10,long,30,12.091370,0.813960,11.800098,12.382642,25.420185,9.172014,18975,18974,34967,15232,10000,1937
Patricia,cached,20,short,30,12.430513,0.875511,12.117215,12.743810,25.420185,9.172014,18975,18974,34967,15232,10000,1937
Patricia,cached,20,mid,30,12.225251,0.947903,11.886048,12.564453,25.420185,9.172014,18975,18974,34967,15232,10000,1937
Patricia,cached,20,long,30,12.047536,0.998056,11.690386,12.404686,25.420185,9.172014,18975,18974,34967,15232,10000,1937
